TenantId,SourceSystem,"TimeGenerated [UTC]",Computer,"TimeOfCommand [UTC]",ContainerID,Image,ImageTag,Repository,Name,LogEntry,LogEntrySource,Type,"_ResourceId",ContainerName,PodName,PodNamespace,LogMessage,LogSource,KubernetesMetadata,LogLevel
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.742 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","CREATE UNIQUE INDEX [IX_Auth_UserId] ON [Auth].[Auth] ([UserId]);",stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.742 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","[13:35:26] [INFORMATION] [Microsoft.EntityFrameworkCore.Database.Command] Executed DbCommand (6ms) [Parameters=[], CommandType='Text', CommandTimeout='30']",stdout,,info
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.735 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev",,stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.735 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","CREATE UNIQUE INDEX [IX_Auth_Salt] ON [Auth].[Auth] ([Salt]);",stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.735 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","[13:35:26] [INFORMATION] [Microsoft.EntityFrameworkCore.Database.Command] Executed DbCommand (7ms) [Parameters=[], CommandType='Text', CommandTimeout='30']",stdout,,info
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.728 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev",,stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.728 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","CREATE UNIQUE INDEX [IX_Auth_Login] ON [Auth].[Auth] ([Login]);",stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.728 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","[13:35:26] [INFORMATION] [Microsoft.EntityFrameworkCore.Database.Command] Executed DbCommand (17ms) [Parameters=[], CommandType='Text', CommandTimeout='30']",stdout,,info
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.711 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev",,stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.711 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","    SET IDENTITY_INSERT [Auth].[Auth] OFF;",stdout,,unknown
